epoch,train_loss,val_loss,val_acc,val_macro_f1
46,0.033564,1.268431,0.788138,0.748186
47,0.033285,1.301836,0.773073,0.741489
48,0.033087,1.182048,0.787504,0.754303
49,0.032562,1.537138,0.753568,0.716606
50,0.032752,1.239230,0.783381,0.754206
51,0.032014,1.319732,0.784967,0.749203
52,0.032272,1.569669,0.762607,0.721620
53,0.031131,1.270165,0.790358,0.753229
54,0.030937,1.356323,0.772122,0.736638
55,0.031708,1.351673,0.796226,0.761293
56,0.030353,1.362826,0.782429,0.741551
57,0.030565,1.151853,0.804948,0.775030
58,0.030580,1.576349,0.764193,0.721878
59,0.030316,1.430180,0.774183,0.736615
60,0.030600,1.179865,0.799080,0.765759
61,0.029978,1.227854,0.780368,0.747371
62,0.029459,1.520604,0.767840,0.731733
63,0.029644,1.276253,0.772756,0.737715
64,0.029750,1.326974,0.766572,0.732081
65,0.031110,1.691472,0.733270,0.695025
66,0.029332,1.333564,0.778306,0.745866
67,0.031071,1.604575,0.773232,0.732991
68,0.029262,1.340542,0.786552,0.751611
69,0.029259,1.466691,0.758008,0.723697
70,0.029365,1.315297,0.792737,0.760172
71,0.029457,1.526544,0.768950,0.731660
72,0.028400,1.355278,0.769585,0.736280
73,0.027421,1.424266,0.776086,0.742053
74,0.028149,1.316790,0.790834,0.757682
75,0.028619,1.744213,0.735490,0.693736
76,0.026185,1.334731,0.776721,0.742991
77,0.027393,1.285491,0.784015,0.750334
78,0.028575,1.248454,0.780526,0.744831
79,0.028867,1.374281,0.787504,0.753350
80,0.026507,1.277665,0.782271,0.750105
81,0.027341,1.319437,0.781954,0.749053
82,0.026387,1.432216,0.766254,0.732264
83,0.026790,1.498810,0.758960,0.721883
84,0.028092,1.799889,0.746432,0.701167
85,0.027347,1.411935,0.778306,0.742794
86,0.027093,1.562171,0.765461,0.731136
87,0.026422,1.293407,0.788455,0.755669
88,0.026085,1.413063,0.772756,0.744033
89,0.027119,1.428566,0.759753,0.720775
90,0.026657,1.283524,0.783222,0.755471
91,0.025379,1.411703,0.767364,0.734022
92,0.027249,1.671423,0.776403,0.736177
93,0.025221,1.281042,0.793847,0.761053
94,0.026296,1.638004,0.757057,0.720503
95,0.026662,1.533717,0.770853,0.735093
96,0.026552,1.647827,0.765144,0.725013
97,0.025647,1.550335,0.758960,0.723682
98,0.027559,1.627877,0.762924,0.728573
99,0.026355,1.329936,0.788297,0.760465
100,0.026244,1.549481,0.765620,0.726050
1,1.211810,1.675255,0.393752,0.314149
2,0.780546,0.818241,0.676499,0.626390
3,0.631068,0.827383,0.709959,0.665010
4,0.532574,0.759788,0.743102,0.704579
5,0.462872,1.138369,0.680622,0.635607
6,0.402094,1.011526,0.697431,0.638610
7,0.361239,1.047787,0.708849,0.655632
8,0.317807,1.185153,0.750079,0.706417
9,0.283979,1.723812,0.626705,0.612862
10,0.261497,1.412303,0.724548,0.671912
